"","grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
"87",10,0,"White",0,0,1,0,0,1,1,1,1,0,1,1,1,1,600,20,1,1,1,1720,658.86
"88",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,190,25,1,1,0,1087,604.36
"91",9,1,"American Indian/Alaska Native",0,0,1,1,1,0,0,0,1,1,1,1,1,0,225,25,1,1,1,1062,432.79
"92",11,0,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,0,290,33,1,1,0,754,551.53
"93",10,1,"Hispanic",0,1,0,0,1,0,0,0,1,0,1,1,1,0,360,30,1,1,1,2886,531.96
"94",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,20,1,1,0,820,443.26
"96",11,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,979,522.14
"98",10,1,"White",1,0,1,0,0,1,1,1,1,1,1,1,1,1,344,15,1,1,0,247,474.72
"100",11,1,"Asian",0,1,1,1,1,1,1,1,0,0,0,0,1,1,285,29,1,1,0,2000,692.86
"101",11,1,"White",0,0,0,0,1,1,0,1,1,0,1,1,0,0,180,20,1,1,0,808,320.48
"105",10,1,"White",1,1,1,0,1,1,1,0,1,1,1,1,1,1,205,30,1,1,0,1828,316.63
"106",10,1,"Asian",1,1,1,0,1,1,1,1,1,0,0,0,1,0,225,20,1,1,0,2098,531.24
"108",11,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,0,200,36,1,1,0,1733,604.44
"109",11,0,"Asian",0,1,1,0,0,1,1,1,0,0,0,1,1,1,550,25,1,1,0,2000,667.04
"113",10,1,"Hispanic",0,0,1,0,0,0,0,1,1,1,1,1,1,0,420,28,0,1,1,626,367.06
"115",11,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,160,23,1,0,1,1212,577.9
"116",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,20,1,1,0,2098,580.45
"117",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,854,459.86
"118",11,1,"Hispanic",1,1,1,0,1,1,0,1,1,0,1,1,1,1,360,36,1,1,1,2942,544.95
"120",11,1,"Native Hawaiian/Other Pacific Islander",1,1,1,1,1,1,1,1,1,0,0,1,1,0,180,25,1,0,1,570,606.27
"121",10,0,"Asian",1,1,0,0,1,0,0,1,0,0,0,0,1,0,225,25,1,1,1,3000,349.6
"123",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,260,17,1,1,0,636,656.95
"125",11,0,"Hispanic",0,1,1,0,0,1,0,1,1,0,0,1,1,1,275,26,1,1,1,2144,562.42
"126",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,15,1,0,1,915,656
"128",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,3004,340.6
"130",11,0,"Hispanic",1,1,1,1,1,0,0,1,1,0,0,0,1,1,354,40,1,1,1,3592,462
"131",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,2878,683.64
"132",11,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,300,20,1,1,1,1988,490.13
"133",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,450,10,1,1,0,1173,548.88
"134",11,1,"White",0,1,1,1,0,1,1,0,1,1,1,1,1,0,270,24,1,1,0,389,680.83
"136",11,0,"Native Hawaiian/Other Pacific Islander",0,1,1,1,1,1,1,1,1,0,0,1,1,0,255,24,1,0,1,570,422.05
"137",11,0,"White",1,1,1,1,1,1,1,0,1,1,0,1,1,0,250,14,1,0,1,915,644.24
"140",10,1,"Hispanic",1,1,0,0,0,0,0,1,0,0,0,0,0,0,84,23,1,1,1,3201,388.62
"141",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,898,609.08
"143",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,300,20,1,1,0,2183,720.03
"145",10,1,"White",1,1,1,0,1,1,1,0,1,1,1,1,0,1,225,30,1,1,0,1233,440.65
"147",11,0,"Hispanic",0,1,1,0,1,1,0,1,1,1,1,1,1,0,264,30,1,1,0,2402,520.31
"151",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,31,1,1,0,2340,626.64
"152",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,258,25,1,1,0,1812,528.5
"153",10,1,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,0,375,20,1,1,0,1295,520.01
"154",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,275,30,1,1,1,2144,522.7
"157",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,30,1,1,0,898,620.41
"158",10,0,"Hispanic",1,1,1,0,1,0,0,1,1,1,1,1,1,0,250,30,1,1,1,539,530.56
"162",10,1,"White",1,1,1,1,0,1,1,0,1,1,1,1,1,1,250,20,1,1,0,1375,677.14
"164",10,1,"White",0,1,1,1,0,1,0,1,1,1,1,1,1,0,420,30,1,1,0,899,498.93
"165",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,285,30,1,1,1,2966,560.34
"166",10,0,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,1,140,15,1,1,1,1900,583.71
"167",9,0,"White",1,0,1,1,1,0,0,0,1,1,1,1,1,1,300,9,1,1,0,421,438.17
"168",10,0,"White",1,1,1,0,1,1,1,1,1,0,1,1,1,1,235,22,1,0,1,356,536.84
"169",10,0,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,0,0,0,180,20,1,0,1,570,485.92
"170",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,1,2999,677.53
"171",10,1,"White",1,1,1,0,1,1,0,1,1,1,0,1,1,0,300,22,1,1,0,899,453.72
"173",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,1526,640.03
"174",10,0,"Hispanic",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,28,1,1,0,2569,413.7
"176",10,1,"White",0,1,0,0,1,0,0,1,1,1,1,1,1,0,270,21,1,1,0,196,609.88
"177",10,1,"White",0,1,1,1,0,1,1,1,1,1,1,1,1,1,270,35,1,1,1,1734,537.89
"179",10,0,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,300,23,1,1,0,434,577.27
"180",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,28,1,1,0,2878,465.02
"183",11,1,"Hispanic",1,1,0,0,0,1,0,1,1,0,1,0,1,0,255,25,1,1,1,1763,438.16
"185",10,0,"Hispanic",0,1,0,0,0,1,0,0,1,1,1,1,0,1,360,40,1,1,1,3201,556.94
"186",11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,0,0,250,28,1,1,0,505,586.88
"187",10,1,"Hispanic",1,1,1,0,1,0,0,1,1,1,1,0,1,0,375,30,1,1,0,1101,517.93
"189",11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,350,25,1,1,0,1295,450.49
"191",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,375,20,1,1,0,2183,653.81
"192",10,1,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,0,275,18,1,1,0,362,544.07
"196",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,24,1,0,1,1212,519.37
"197",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,325,30,1,1,0,712,702.23
"198",10,1,"American Indian/Alaska Native",1,1,1,0,0,1,0,0,1,1,1,1,1,0,225,25,1,1,0,1610,490.27
"199",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,18,0,0,1,366,661.56
"200",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,20,0,1,1,502,586.01
"201",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,528.5
"203",9,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,450,30,1,1,0,1173,431.98
"205",10,0,"White",0,1,0,0,0,1,0,1,1,1,1,1,1,1,435,30,1,1,0,1317,567.9
"206",10,1,"Hispanic",1,1,1,1,1,1,1,1,1,1,1,0,1,1,255,2,1,1,0,996,516.41
"207",10,1,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,50,32,1,1,1,1392,430.95
"208",10,0,"More than one race",1,1,1,0,1,1,0,1,1,1,1,1,1,1,45,34,1,1,0,1064,586.17
"209",10,0,"White",1,1,0,0,1,1,0,1,0,0,1,1,1,0,300,25,1,1,0,929,602.61
"210",10,1,"Asian",0,1,1,0,0,1,0,0,1,0,0,0,0,1,270,45,1,1,1,3201,407.86
"211",10,0,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,0,250,18,1,1,0,1064,563.05
"212",10,0,"Hispanic",1,1,1,0,0,0,0,1,1,0,1,0,1,1,300,25,1,1,0,1900,454.7
"213",10,0,"White",1,0,1,0,1,1,1,1,1,1,1,1,1,0,35,3,1,1,0,2098,378.19
"214",10,1,"White",1,1,1,0,1,1,0,0,1,1,0,1,1,1,225,22,1,1,0,850,448.67
"215",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,0,1,1,1,0,40,20,1,1,0,1680,394.24
"216",9,1,"More than one race",0,1,1,0,0,1,0,0,1,1,1,1,1,0,250,20,1,1,1,2004,575.65
"217",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,1,400,30,1,1,0,979,597.13
"218",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,0,0,1064,515.2
"219",10,1,"White",0,1,1,0,1,1,0,1,0,0,0,0,1,0,250,40,1,1,1,3138,428.3
"221",10,1,"Asian",1,1,1,0,1,1,0,1,1,0,0,0,1,0,270,38,1,1,1,2085,527.55
"222",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,15,1,1,0,389,473.44
"223",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,225,19,1,1,0,358,489.09
"224",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,215,15,1,1,0,774,556.89
"225",10,1,"More than one race",1,1,1,0,0,1,0,1,1,1,1,1,0,1,275,33,1,1,1,2162,539.74
"226",10,0,"Hispanic",0,1,1,0,1,1,0,1,1,0,0,0,1,0,180,20,1,1,0,996,480.51
"228",9,1,"Hispanic",0,1,0,0,0,0,0,1,1,0,0,0,1,0,54,30,1,1,1,3592,450.67
"229",10,1,"Hispanic",1,0,0,0,1,0,0,1,0,0,0,0,0,1,250,35,1,1,1,1095,408.74
"230",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,270,17,1,1,0,389,499.41
"232",10,1,"Asian",1,1,1,1,0,1,1,1,1,1,0,1,1,0,160,15,1,1,1,1900,672.01
"234",10,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,250,15,1,1,0,421,529.07
"238",11,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,0,1,200,20,1,1,0,754,556.38
"239",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,0,0,275,25,1,1,0,1382,587.68
"240",10,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,0,1,1,225,23,1,1,1,1408,559.87
"241",10,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,0,0,450,20,1,1,0,1173,346.53
"242",10,0,"White",0,1,1,0,0,1,0,0,1,1,1,1,1,1,300,26,1,1,0,1064,557.65
"243",11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1897,675.86
"246",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,275,38,1,1,1,2085,647.18
"247",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,612,615.17
"248",11,0,"More than one race",1,1,1,1,0,1,1,1,0,0,1,1,1,1,270,25,1,1,0,1680,652.74
"251",10,0,"White",1,0,1,0,0,1,1,1,1,1,1,1,1,0,210,25,1,1,0,996,498.07
"252",10,1,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,250,25,1,1,0,1233,483.94
"253",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,16,1,1,0,358,560.83
"254",9,1,"Hispanic",0,1,0,0,1,0,0,1,0,0,0,0,1,1,150,30,1,1,0,926,535.01
"257",10,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,250,20,1,1,0,1526,512.08
"258",11,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,264,32,1,1,0,2402,371.47
"259",10,1,"Black",0,1,1,0,1,1,0,1,1,1,1,1,1,0,250,30,1,1,1,3592,466.78
"260",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,0,979,514.48
"262",10,0,"Hispanic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,225,20,1,1,0,3004,403.7
"265",11,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,0,0,275,30,1,1,0,1411,482.42
"266",10,0,"White",0,0,1,1,1,1,1,1,1,1,1,1,0,0,240,15,1,1,0,509,422.84
"268",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,300,22,1,1,0,899,337.23
"269",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,500,26,1,1,0,2183,727.97
"270",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,540,20,1,1,0,2361,357.28
"271",11,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,275,20,1,1,0,868,520.79
"273",11,1,"Hispanic",0,1,0,0,0,1,0,1,1,0,0,0,1,1,270,30,1,0,1,570,561.62
"275",10,1,"White",0,0,1,0,1,0,0,0,1,1,1,1,0,0,225,10,1,1,1,2004,377.72
"276",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,29,0,1,1,1392,424.43
"277",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,275,18,1,1,0,1913,473.6
"278",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,735,20,1,1,0,987,495.53
"280",11,0,"Black",1,1,1,0,0,1,0,1,1,1,0,1,1,0,450,25,1,1,1,1720,569.33
"281",10,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,180,20,1,0,1,1212,513.52
"282",10,1,"White",0,1,1,0,0,1,0,0,1,1,1,1,1,0,250,25,1,1,1,2004,417.48
"283",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,275,18,1,1,0,690,631.61
"284",11,1,"White",0,1,1,0,1,1,1,0,1,1,1,1,1,0,400,25,1,1,0,930,547.19
"285",9,1,"White",1,0,0,0,1,0,0,1,1,1,1,1,0,0,450,13,1,1,0,865,362.97
"286",10,0,"Hispanic",1,1,0,0,1,0,0,1,0,0,0,1,0,0,30,30,1,1,0,1347,437.93
"288",10,1,"White",0,1,1,1,0,1,1,1,1,0,1,1,1,0,250,27,1,1,0,1375,607.32
"289",10,1,"White",1,1,1,1,1,1,0,0,1,1,1,1,1,0,260,30,1,1,1,2080,719.31
"291",9,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,19,1,1,0,636,413.95
"292",9,1,"Hispanic",0,0,0,0,1,0,0,1,0,0,0,0,0,0,360,35,1,1,1,1408,479.45
"293",10,0,"White",1,0,1,1,0,1,0,1,1,1,1,1,1,0,250,60,1,1,0,1382,567.1
"294",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,250,20,1,1,0,1375,531.99
"295",10,0,"Black",1,1,1,0,0,1,0,0,1,1,1,1,1,1,110,26,1,1,0,507,394.32
"296",10,0,"Black",1,1,1,1,1,1,0,0,1,1,0,1,1,1,50,35,1,1,1,1392,363.66
"297",11,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,250,12,1,0,1,915,651.49
"298",10,1,"Hispanic",1,0,1,0,1,1,0,1,1,1,1,1,1,0,180,30,1,1,1,2942,456.68
"299",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,220,20,1,1,0,690,671.17
"301",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,1,0,1610,616.91
"302",10,0,"Asian",1,1,1,0,1,1,1,0,1,0,0,1,1,0,250,13,1,0,1,915,705.73
"303",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,28,1,1,0,1680,600.55
"305",10,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,1,1378,362.57
"308",10,1,"White",0,0,1,0,1,0,0,0,1,1,1,1,0,0,250,23,1,1,0,507,355.35
"312",9,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,275,25,1,0,1,308,536.76
"313",10,1,"Black",1,1,1,1,1,1,1,1,1,1,1,1,1,1,282,17,1,1,1,1619,520.1
"315",11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,250,30,1,0,1,308,611.11
"319",10,1,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,0,630,20,1,1,0,261,446.18
"321",10,1,"White",1,1,1,0,1,1,0,0,1,1,1,1,0,0,450,17,1,1,0,865,559.38
"322",10,0,"American Indian/Alaska Native",1,0,1,0,1,0,0,1,1,1,1,1,0,1,350,20,0,1,0,300,345.78
"325",11,1,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,275,20,1,1,0,362,510.56
"327",9,1,"Black",0,1,1,0,0,1,1,1,1,1,0,1,1,0,270,23,1,1,1,2999,382.69
"328",10,0,"More than one race",1,1,1,0,1,1,0,0,1,1,1,1,1,1,250,30,1,1,0,1064,575.92
"329",10,1,"Hispanic",1,1,1,0,0,1,0,1,1,1,1,1,1,0,350,25,1,1,0,2569,495.64
"330",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,0,0,225,30,1,1,0,421,344.19
"333",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,0,1,250,12,1,1,0,1375,557.01
"335",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,450,30,1,1,0,1173,464.94
"337",10,1,"More than one race",1,0,1,1,1,0,0,1,1,1,1,1,1,0,225,24,1,1,0,227,373.39
"339",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,28,1,1,0,1471,656.54
"340",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,15,1,1,1,2162,521.86
"341",10,1,"Black",1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,507,563.47
"342",10,1,"White",1,1,1,1,1,1,1,1,1,0,1,1,1,0,250,15,1,0,1,915,646.92
"343",10,1,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,232,18,1,1,0,2710,517.53
"344",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,160,30,1,1,1,2999,518.49
"345",11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,400,28,1,1,0,712,602.06
"347",11,1,"Black",0,1,1,1,1,0,0,1,0,0,0,0,1,1,390,25,1,1,0,2183,518.89
"348",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,240,12,1,1,0,509,506.89
"349",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,232,26,1,1,0,2710,608.49
"350",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,690,485.78
"351",11,1,"Asian",0,1,1,1,0,1,0,0,1,0,0,0,1,1,250,30,1,1,0,1733,532.12
"353",11,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,24,1,0,0,1064,537.33
"354",11,0,"White",1,1,1,0,1,1,0,1,1,0,1,1,1,0,240,20,1,1,0,1087,546.53
"355",10,0,"Hispanic",0,1,1,0,1,1,0,1,1,1,0,1,1,0,275,11,1,1,1,539,637.25
"356",10,0,"White",0,1,0,0,1,0,0,0,1,1,1,1,0,1,250,20,1,1,0,366,537.79
"358",10,1,"Hispanic",1,1,1,0,1,1,0,1,0,0,0,0,1,0,300,30,1,1,1,2255,608.2
"363",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,0,1,1,0,210,20,1,0,1,570,462.32
"366",9,0,"Hispanic",1,0,1,0,1,1,0,1,1,1,1,1,1,1,250,15,1,1,1,2532,416.88
"367",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,1,1,0,1233,505.02
"368",10,1,"White",1,0,1,0,1,0,0,1,1,1,1,1,0,0,150,25,1,1,0,1848,404.01
"369",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,300,25,1,0,1,308,449.55
"370",10,0,"White",1,0,0,0,0,0,0,1,1,1,1,1,1,1,250,30,1,1,0,505,496.8
"375",10,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,250,25,1,1,0,1064,680.51
"376",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1489,528.35
"379",11,0,"Black",0,1,1,0,1,1,0,1,1,1,1,1,1,0,450,25,1,1,0,432,519.36
"383",10,0,"Asian",1,1,1,1,1,1,1,1,1,0,0,1,1,0,275,15,1,0,1,915,609.21
"386",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,300,30,1,1,1,2144,478.65
"387",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,0,0,1,308,494.1
